Date,Team,Acquired,Relinquished,Notes
1995-08-28,Jaguars,,&bull; Jason Simmons,released
1995-08-28,Jaguars,,&bull; Paul Siever,released
1995-08-28,Jaguars,,&bull; Rich Tylski,released
1995-08-28,Jaguars,,&bull; Ryan McCoy,released
1995-08-28,Jaguars,,&bull; Scott Sisson,released
1995-08-28,Lions,,&bull; Allen Williams,waived
1995-08-28,Lions,,&bull; Brad Bowers,waived
1995-08-28,Lions,,&bull; Donald Hollas / Don Hollas (WashPost),waived
1995-08-28,Lions,,&bull; Earnest Williams,waived
1995-08-28,Lions,,&bull; Josh Heinrich,waived
1995-08-28,Lions,,&bull; Mill Coleman,waived
1995-08-28,Lions,,&bull; Richard Woodley,waived
1995-08-28,Oilers,,&bull; C.J. Richardson,released
1995-08-28,Oilers,,&bull; James Logan,released
1995-08-28,Oilers,,&bull; Jasper Strong,released
1995-08-28,Oilers,,&bull; Pat Carter,released
1995-08-28,Packers,,&bull; Bernard Carter,waived
1995-08-28,Packers,,&bull; Charles Hope,waived
1995-08-28,Packers,,&bull; Charles Swann,waived
1995-08-28,Packers,,&bull; Gene McGuire,waived
1995-08-28,Packers,,&bull; Mitch Berger,waived
1995-08-28,Packers,,&bull; Ruffin Hamilton,waived
1995-08-28,Packers,,&bull; Tommy Fagan,waived
1995-08-28,Panthers,,&bull; Alan Haller,waived
1995-08-28,Panthers,,&bull; Barry Foster,waived
1995-08-28,Panthers,,&bull; Derrick Lassic,waived (injury settlement)
1995-08-28,Panthers,,&bull; Frank Stams,waived
1995-08-28,Panthers,,&bull; James Williams,waived (injury settlement)
1995-08-28,Panthers,,&bull; Jeff Fields,waived
1995-08-28,Panthers,,&bull; Patrick Scott,waived
1995-08-28,Panthers,,&bull; Rich Yurkiewicz,released
1995-08-28,Panthers,,&bull; Vernon Turner,waived
1995-08-28,Panthers,&bull; Derrick Moore,,signed
1995-08-28,Panthers,&bull; Jeff Fields,,signed to practice squad
1995-08-28,Panthers,&bull; Jeff Zgonina,,claimed off waivers (from Steelers)
1995-08-28,Panthers,&bull; Michael Bates,,claimed off waivers (from Seahawks)
1995-08-28,Raiders,&bull; undisclosed draft pick (?-?),&bull; Willie Broughton,trade with Saints
1995-08-28,Ravens,&bull; 1996 fifth round pick (#153-Jermaine Lewis),&bull; Gene Williams (b),trade with Falcons
1995-08-28,Saints,&bull; Willie Broughton,&bull; undisclosed draft pick (?-?),trade with Raiders
1995-08-28,Seahawks,,&bull; Rich Baldinger,waived
1995-08-28,Seahawks,&bull; Dexter Seigler,,signed to practice squad
1995-08-28,Seahawks,&bull; James McKeehan,,signed to practice squad
1995-08-28,Seahawks,&bull; Keith Bryant,,signed to practice squad
1995-08-28,Vikings,&bull; Earl Mackey,,signed free agent to practice squad
1995-08-28,Vikings,&bull; Greg DeLong,,signed to practice squad
1995-08-28,Vikings,&bull; Keith Washington,,signed free agent to practice squad
1995-08-28,Vikings,&bull; Moses Ware,,signed free agent to practice squad
1995-08-28,Vikings,&bull; Shelly Hammonds,,signed free agent to practice squad
1995-08-28,Colts,,&bull; Ed West,waived
1995-08-28,Seahawks,,&bull; David Brandon,waived
1995-08-28,Eagles,&bull; Ed West,,signed
1995-08-28,Chargers,&bull; David Brandon,,signed free agent
1995-08-29,Browns,&bull; Michael Bates,&bull; Travis Hill,trade with Panthers
1995-08-29,Browns,&bull; past considerations (?),&bull; Travis Hill,trade with Panthers (NYT)
1995-08-29,Packers,&bull; Shannon Clavelle,,signed free agent (date approximate)
1995-08-29,Panthers,&bull; Travis Hill,&bull; Michael Bates,trade with Browns
1995-08-29,Panthers,&bull; Travis Hill,&bull; past considerations (?),trade with Browns (NYT)
1995-08-29,Raiders,&bull; Joe Nedney,,signed free agent
1995-08-30,Giants,&bull; Tommy Maddox,,signed free agent
1995-09-01,Browns,,&bull; Joe DeLamielleure,released (date approximate)
1995-09-01,Oilers,&bull; Josh Evans (a),,signed free agent
1995-09-04,Panthers,&bull; Reggie Jones (a),,signed free agent to practice squad
1995-09-05,Rams,&bull; Brent Moss,,signed free agent to practice squad
1995-09-09,Bears,,&bull; Ervin Collier,waived
1995-09-09,Bears,&bull; Darwin Ireland,,signed
1995-09-09,Cowboys,&bull; Deion Sanders,,signed free agent to a 5-year contract
1995-09-20,Bengals,,&bull; Ty Parten,waived
1995-09-20,Bengals,Alfred Oglesby,,signed
1995-09-20,Buccaneers,&bull; Tiger McMillon,,signed to practice squad
1995-09-20,Chiefs,,&bull; Rick Hamilton,waived
1995-09-20,Chiefs,&bull; Frank Stams,,signed to a 1-year contract
1995-09-20,Saints,,&bull; Mike Pelton,released from practice squad
1995-09-20,Saints,&bull; Dunstan Anderson,,signed free agent to practice squad
1995-09-21,Dolphins,Joe Nedney,,signed free agent
1995-09-28,Browns,&bull; Chad Eaton,,signed free agent
1995-10-05,Cardinals,&bull; Andre Waters,,signed
1995-10-05,Lions,,&bull; Anthony Carter,retired
1995-10-13,Eagles,&bull; Sylvester Wright,,signed
1995-10-13,Packers,,&bull; Alberto White,waived
1995-10-16,49ers,,&bull; Antonio Armstrong,waived from practice squad
1995-10-16,49ers,,Doug Brien,waived
1995-10-16,49ers,&bull; Jerone Davison,,signed to practice squad
1995-10-16,Rams,&bull; Brent Moss,,signed from practice squad to active roster
1995-10-16,Browns,,&bull; Stacey Hairston,lost off waivers (to Bengals)
1995-10-16,Bengals,&bull; Stacey Hairston,,claimed off waivers (from Browns)
1995-10-17,Bengals,,&bull; Stacey Hairston,released
1995-10-17,Cardinals,&bull; Cecil Gray,,signed
1995-10-17,Cardinals,&bull; Rob Selby,,signed
1995-10-17,Chargers,,&bull; Ron Middleton,waived
1995-10-17,Chargers,&bull; David Hendrix,,signed from practice squad to active roster
1995-10-17,Panthers,&bull; Walter Rasby / Walt Rasby,,signed free agent
1995-10-17,Raiders,&bull; Olanda Truitt,,signed
1995-10-17,Redskins,,&bull; Cedric Smith,waived
1995-10-17,Redskins,,&bull; Robert Bailey,waived
1995-10-21,Panthers,&bull; Reggie Jones (a),,signed from practice squad to active roster
1995-10-23,Eagles,,&bull; Troy Drake,released
1995-10-23,Eagles,&bull; James Saxon,,signed
1995-10-23,Vikings,&bull; Jack Del Rio,,re-signed to a 2-year contract extension
1995-10-24,Bears,,&bull; Richard Dent,released
1995-10-24,Bengals,&bull; Barry Foster,,signed
1995-10-31,Cardinals,&bull; Carlos Brooks,,signed from practice squad to active roster
1995-10-31,Patriots,,&bull; Pat O'Neill,waived
1995-10-31,Patriots,&bull; Bryan Wagner,,signed
1995-10-31,Saints,Doug Brien,,signed free agent
1995-11-01,Lions,&bull; Ron Rice,,signed from practice squad to active roster
1995-11-07,Bears,&bull; Mitch Berger,,signed free agent
1995-11-08,49ers,&bull; Jeff Wilkins,,signed free agent
1995-11-10,Colts,,&bull; Ben Bronson,waived
1995-11-10,Colts,&bull; Trevor Wilmot,,signed
1995-11-21,Eagles,,&bull; Greg Tremble,released
1995-11-21,Eagles,&bull; Frank Cornish,,signed to a 1-year contract
1995-11-22,Packers,&bull; Doug Pederson,,signed free agent
1995-11-27,Browns,,&bull; Jim McMahon,waived
1995-11-27,Browns,&bull; Lonnie Palelei,,claimed off waivers (from Steelers)
1995-11-27,Eagles,&bull; Art Monk,,signed free agent to a 1-year contract
1995-11-27,Jets,,&bull; Todd Scott,released
1995-11-28,Packers,,&bull; LeShon Johnson,released
1995-11-28,Packers,&bull; Jim McMahon,,claimed off waivers (from Browns)
1995-12-01,Cardinals,,&bull; Mark Higgs,waived
1995-12-01,Saints,&bull; Donald Willis,,claimed off waivers
1995-12-06,Bears,&bull; Brandon Bennett,,signed free agent
1995-12-12,Bills,,&bull; James Patton,waived
1995-12-12,Buccaneers,&bull; Fred Lester,,signed from practice squad to active roster
1995-12-12,Packers,,T.J. Rubely (T.J. Rubley),waived
1995-12-12,Packers,&bull; Bucky Brooks,,signed
1995-12-15,Saints,,&bull; Rickey Brady,lost from practice squad (to Eagles)
1995-12-15,Eagles,&bull; Rickey Brady,,signed from Saints practice squad
1995-12-27,Buccaneers,&bull; Tyoka Jackson,,signed free agent
1996-01-01,Eagles,&bull; 1997 fourth round pick (?-?),&bull; 1996 fifth round pick (#157-Kenneth McDaniel),trade with Ravens (date approximate)
1996-01-01,Falcons,&bull; Patrick Bates,&bull; 1996 second round pick (#48-Jason Layman),trade with Raiders (date approximate)
1996-01-01,Raiders,&bull; 1996 second round pick (#48-Jason Layman),&bull; Patrick Bates,trade with Falcons (date approximate)
1996-01-01,Ravens,&bull; 1996 fifth round pick (#157-Kenneth McDaniel),&bull; 1997 fourth round pick (?-?),trade with Eagles (date approximate)
1996-01-01,Ravens,&bull; Reginald Jones / Reggie Jones (M.),&bull; 1996 fifth round pick (#136-Mercury Hayes),trade with Saints (date approximate)
1996-01-01,Saints,&bull; 1996 fifth round pick (#136-Mercury Hayes),&bull; Reginald Jones / Reggie Jones (M.),trade with Ravens (date approximate)
